# Legend: N(newborn) R(running) F(failed) K(killed) C(complete)
F leakage_power__ACQ_1 of INV T0 W1
F delay__IN__lh__OUT__hl__ACQ_1 of INV T1 W1
F delay__IN__hl__OUT__lh__ACQ_1 of INV T2 W1
F Cin__VSS__lh__ACQ_1 of INV T3 W1
F Cin__VSS__hl__ACQ_1 of INV T4 W1
F Cin__VDD__lh__ACQ_1 of INV T5 W1
F Cin__VDD__hl__ACQ_1 of INV T6 W1
F leakage_power__ACQ_1 of INV T7 W1
F delay__IN__lh__OUT__hl__ACQ_1 of INV T8 W1
F delay__IN__hl__OUT__lh__ACQ_1 of INV T9 W1
F Cin__VSS__lh__ACQ_1 of INV T10 W1
F Cin__VSS__hl__ACQ_1 of INV T11 W1
F Cin__VDD__lh__ACQ_1 of INV T12 W1
F Cin__VDD__hl__ACQ_1 of INV T13 W1
